year,average height,team
1998,73.3,Baltimore Orioles
1998,73.4,Oakland Athletics
1998,73.4,Texas Rangers
1998,73.4,Cincinnati Reds
1998,73.4,Los Angeles Dodgers
1998,73.4,Colorado Rockies
1998,73.5,Seattle Mariners
1998,73.5,Minnesota Twins
1998,73.5,Anaheim Angels
1998,73.5,Milwaukee Brewers
1998,73.5,Montreal Expos
1998,73.6,Toronto Blue Jays
1998,73.6,Florida Marlins
1998,73.7,Cleveland Indians
1998,73.7,Detroit Tigers
1998,73.7,Philadelphia Phillies
1998,73.7,Chicago White Sox
1998,73.8,Arizona Diamondbacks
1998,73.8,New York Yankees
1998,73.9,Tampa Bay Devil Rays
1998,73.9,Chicago Cubs
1998,74.0,Houston Astros
1997,72.6,New York Mets
1997,72.8,Anaheim Angels
1997,73.0,Houston Astros
1997,73.1,Cincinnati Reds
1997,73.1,San Diego Padres
1997,73.1,Texas Rangers
1997,73.2,Cleveland Indians
1997,73.2,Los Angeles Dodgers
1997,73.2,Atlanta Braves
1997,73.2,Chicago White Sox
1997,73.2,St. Louis Cardinals
1997,73.3,Kansas City Royals
1997,73.3,San Francisco Giants
1997,73.3,Baltimore Orioles
1997,73.3,Seattle Mariners
1997,73.4,Boston Red Sox
1997,73.5,Toronto Blue Jays
1997,73.5,Montreal Expos
1997,73.6,Philadelphia Phillies
1997,73.6,Chicago Cubs
1997,73.6,Minnesota Twins
1997,73.7,Florida Marlins
1997,73.7,Colorado Rockies
1997,73.7,New York Yankees
1997,73.7,Detroit Tigers
1997,73.7,Pittsburgh Pirates
1997,73.8,Milwaukee Brewers
1997,74.2,Oakland Athletics
1996,73.1,Atlanta Braves
1996,73.1,Cleveland Indians
1996,73.1,St. Louis Cardinals
1996,73.1,Kansas City Royals
1996,73.2,San Francisco Giants
1996,73.2,Boston Red Sox
1996,73.2,Colorado Rockies
1996,73.2,Los Angeles Dodgers
1996,73.3,Philadelphia Phillies
1996,73.3,Minnesota Twins
1996,73.3,Milwaukee Brewers
1996,73.3,New York Mets
1996,73.4,Montreal Expos
1996,73.4,San Diego Padres
1996,73.4,Florida Marlins
1996,73.4,Texas Rangers
1996,73.5,Houston Astros
1996,73.6,Chicago White Sox
1996,73.6,Chicago Cubs
1996,73.7,Pittsburgh Pirates
1996,73.7,Baltimore Orioles
1996,73.8,Oakland Athletics
1996,73.8,New York Yankees
1996,73.8,Seattle Mariners
1996,73.8,Detroit Tigers
1996,73.9,Toronto Blue Jays
1996,74.0,Cincinnati Reds
1996,74.0,California Angels
1995,72.7,St. Louis Cardinals
1995,72.8,Colorado Rockies
1995,72.9,Chicago White Sox
1995,73.0,New York Mets
1995,73.1,Los Angeles Dodgers
1995,73.1,San Francisco Giants
1995,73.1,Kansas City Royals
1995,73.1,Boston Red Sox
1995,73.1,Florida Marlins
1995,73.2,Montreal Expos
1995,73.2,Houston Astros
1995,73.2,Texas Rangers
1995,73.3,Cincinnati Reds
1995,73.3,Baltimore Orioles
1995,73.4,Oakland Athletics
1995,73.5,San Diego Padres
1995,73.5,Minnesota Twins
1995,73.5,Atlanta Braves
1995,73.5,Detroit Tigers
1995,73.6,Seattle Mariners
1995,73.6,New York Yankees
1995,73.6,Philadelphia Phillies
1995,73.6,Chicago Cubs
1995,73.7,Toronto Blue Jays
1995,73.7,Milwaukee Brewers
1995,73.7,Cleveland Indians
1995,73.8,California Angels
1995,74.3,Pittsburgh Pirates
1994,72.9,San Francisco Giants
1994,72.9,St. Louis Cardinals
1994,73.0,Kansas City Royals
1994,73.1,Atlanta Braves
1994,73.1,Montreal Expos
1994,73.1,Florida Marlins
1994,73.2,Houston Astros
1994,73.3,New York Yankees
1994,73.3,New York Mets
1994,73.4,Chicago White Sox
1994,73.4,Los Angeles Dodgers
1994,73.4,Baltimore Orioles
1994,73.4,Minnesota Twins
1994,73.4,Texas Rangers
1994,73.4,Oakland Athletics
1994,73.4,Colorado Rockies
1994,73.5,Detroit Tigers
1994,73.6,Milwaukee Brewers
1994,73.6,Cleveland Indians
1994,73.7,San Diego Padres
1994,73.7,Boston Red Sox
1994,73.7,Pittsburgh Pirates
1994,73.7,Cincinnati Reds
1994,73.8,Chicago Cubs
1994,73.9,Seattle Mariners
1994,73.9,Toronto Blue Jays
1994,73.9,California Angels
1994,74.0,Philadelphia Phillies
1993,72.8,Kansas City Royals
1993,72.9,Florida Marlins
1993,72.9,Milwaukee Brewers
1993,73.1,Montreal Expos
1993,73.1,Minnesota Twins
1993,73.2,New York Mets
1993,73.2,St. Louis Cardinals
1993,73.2,Chicago White Sox
1993,73.3,Toronto Blue Jays
1993,73.3,San Francisco Giants
1993,73.4,San Diego Padres
1993,73.4,Houston Astros
1993,73.4,Atlanta Braves
1993,73.4,Detroit Tigers
1993,73.4,Texas Rangers
1993,73.5,Baltimore Orioles
1993,73.6,California Angels
1993,73.6,New York Yankees
1993,73.6,Cincinnati Reds
1993,73.7,Chicago Cubs
1993,73.7,Boston Red Sox
1993,73.7,Oakland Athletics
1993,73.8,Pittsburgh Pirates
1993,73.8,Los Angeles Dodgers
1993,73.8,Colorado Rockies
1993,73.9,Philadelphia Phillies
1993,74.0,Seattle Mariners
1993,74.2,Cleveland Indians
1992,72.7,Kansas City Royals
1992,72.8,St. Louis Cardinals
1992,72.9,Chicago White Sox
1992,73.3,California Angels
1992,73.3,Boston Red Sox
1992,73.3,New York Mets
1992,73.3,Texas Rangers
1992,73.3,Cincinnati Reds
1992,73.3,Minnesota Twins
1992,73.3,Chicago Cubs
1992,73.3,Montreal Expos
1992,73.3,San Francisco Giants
1992,73.4,Atlanta Braves
1992,73.4,Houston Astros
1992,73.4,San Diego Padres
1992,73.5,Milwaukee Brewers
1992,73.5,Baltimore Orioles
1992,73.5,Detroit Tigers
1992,73.5,Seattle Mariners
1992,73.5,New York Yankees
1992,73.6,Los Angeles Dodgers
1992,73.7,Oakland Athletics
1992,73.8,Philadelphia Phillies
1992,73.8,Toronto Blue Jays
1992,73.9,Pittsburgh Pirates
1992,74.0,Cleveland Indians
1991,72.5,St. Louis Cardinals
1991,72.9,Montreal Expos
1991,73.0,San Francisco Giants
1991,73.0,Atlanta Braves
1991,73.0,San Diego Padres
1991,73.0,New York Mets
1991,73.1,Kansas City Royals
1991,73.1,Minnesota Twins
1991,73.2,Chicago Cubs
1991,73.3,Philadelphia Phillies
1991,73.3,Chicago White Sox
1991,73.4,Seattle Mariners
1991,73.4,Boston Red Sox
1991,73.4,Pittsburgh Pirates
1991,73.5,California Angels
1991,73.5,Houston Astros
1991,73.5,Texas Rangers
1991,73.5,Oakland Athletics
1991,73.5,Cleveland Indians
1991,73.5,Milwaukee Brewers
1991,73.6,Detroit Tigers
1991,73.6,Baltimore Orioles
1991,73.7,Cincinnati Reds
1991,73.7,New York Yankees
