year,average weight,team
1996,187.6,Cleveland Indians
1995,198.0,Pittsburgh Pirates
1995,194.9,Toronto Blue Jays
1995,193.4,Boston Red Sox
1995,193.4,Cleveland Indians
1995,193.4,Milwaukee Brewers
1995,192.7,Minnesota Twins
1995,192.5,Chicago White Sox
1995,192.2,Seattle Mariners
1995,192.2,San Diego Padres
1995,191.2,Philadelphia Phillies
1995,190.3,Colorado Rockies
1995,190.1,Texas Rangers
1995,189.8,Chicago Cubs
1995,189.8,New York Mets
1995,189.7,Oakland Athletics
1995,189.6,Baltimore Orioles
1995,189.6,California Angels
1995,189.5,Florida Marlins
1995,189.5,Cincinnati Reds
1995,189.5,Atlanta Braves
1995,188.5,Detroit Tigers
1995,187.8,Montreal Expos
1995,187.7,Houston Astros
1995,187.5,Los Angeles Dodgers
1995,187.5,New York Yankees
1995,187.0,San Francisco Giants
1995,186.7,Kansas City Royals
1995,186.5,St. Louis Cardinals
1994,195.0,Toronto Blue Jays
1994,194.4,Cleveland Indians
1994,194.0,Minnesota Twins
1994,194.0,Pittsburgh Pirates
1994,193.5,Colorado Rockies
1994,193.5,Seattle Mariners
1994,193.0,Philadelphia Phillies
1994,192.9,Cincinnati Reds
1994,192.4,California Angels
1994,191.0,Boston Red Sox
1994,190.8,San Diego Padres
1994,190.5,Texas Rangers
1994,190.3,Detroit Tigers
1994,189.5,Milwaukee Brewers
1994,189.1,Oakland Athletics
1994,188.8,Chicago Cubs
1994,188.5,Chicago White Sox
1994,188.3,Atlanta Braves
1994,188.1,Baltimore Orioles
1994,187.8,Montreal Expos
1994,187.7,New York Mets
1994,187.7,Florida Marlins
1994,187.4,Houston Astros
1994,187.0,St. Louis Cardinals
1994,187.0,Los Angeles Dodgers
1994,186.6,New York Yankees
1994,185.0,San Francisco Giants
1994,182.7,Kansas City Royals
1993,195.3,Seattle Mariners
1993,195.0,Cleveland Indians
1993,194.8,Colorado Rockies
1993,194.4,Minnesota Twins
1993,192.7,Chicago White Sox
1993,192.6,Cincinnati Reds
1993,192.5,Oakland Athletics
1993,192.0,Pittsburgh Pirates
1993,191.8,Detroit Tigers
1993,191.8,Philadelphia Phillies
1993,190.7,St. Louis Cardinals
1993,190.6,San Diego Padres
1993,190.6,Montreal Expos
1993,190.5,New York Yankees
1993,190.5,Toronto Blue Jays
1993,190.4,Atlanta Braves
1993,190.1,Houston Astros
1993,190.1,Boston Red Sox
1993,190.0,Texas Rangers
1993,188.7,Baltimore Orioles
1993,187.9,Florida Marlins
1993,187.8,California Angels
1993,187.3,San Francisco Giants
1993,187.1,Los Angeles Dodgers
1993,186.9,Milwaukee Brewers
1993,186.9,New York Mets
1993,186.4,Chicago Cubs
1993,186.1,Kansas City Royals
1992,195.1,Milwaukee Brewers
1992,193.6,Pittsburgh Pirates
1992,192.6,Toronto Blue Jays
1992,191.5,Seattle Mariners
1992,191.4,Montreal Expos
1992,191.2,Philadelphia Phillies
1992,190.6,New York Yankees
1992,190.5,Oakland Athletics
1992,190.3,Cleveland Indians
1992,190.3,Detroit Tigers
1992,189.9,St. Louis Cardinals
1992,189.4,San Diego Padres
1992,189.0,Texas Rangers
1992,188.9,Cincinnati Reds
1992,188.7,Baltimore Orioles
1992,188.6,Atlanta Braves
1992,188.4,Minnesota Twins
1992,188.4,Chicago White Sox
1992,187.9,Houston Astros
1992,187.8,Chicago Cubs
1992,187.6,Boston Red Sox
1992,187.0,San Francisco Giants
1992,187.0,Los Angeles Dodgers
1992,186.4,New York Mets
1992,185.9,California Angels
1992,184.1,Kansas City Royals
1991,194.1,Milwaukee Brewers
1991,193.1,Cincinnati Reds
1991,191.9,Toronto Blue Jays
1991,191.0,Detroit Tigers
1991,190.9,Seattle Mariners
1991,190.4,Oakland Athletics
1991,189.9,New York Yankees
1991,189.5,Los Angeles Dodgers
1991,189.3,Cleveland Indians
1991,189.0,Baltimore Orioles
1991,188.9,Minnesota Twins
1991,188.8,Houston Astros
1991,188.5,California Angels
1991,188.1,Chicago White Sox
1991,187.9,Boston Red Sox
1991,187.9,San Diego Padres
1991,187.6,Philadelphia Phillies
1991,187.6,Chicago Cubs
1991,187.5,Pittsburgh Pirates
1991,187.4,Atlanta Braves
1991,187.0,Kansas City Royals
1991,186.9,St. Louis Cardinals
1991,186.8,Montreal Expos
